ID,trial,phase,duration,move_sum,mpm,n_uniquePlaces,exploration,saved,SP1_found,SP2_found,SP3_found,SP4_found,sum_escapes,mean_mpm,trial_efficiency,overall_efficiency
CC_001,1,noStress,10,0,0,1,6,0,0,0,0,0,1,15.6,0,7.8
CC_001,1,stress,20,1,2.90135396518375,2,5.80270793036751,0,0,0,0,0,4,70.763013713103,2.90135396518375,14.1526027426206
CC_001,2,noStress,10,0,0,1,6,0,0,0,0,0,1,15.6,0,7.8
CC_001,2,stress,15.59,15,57.7293136626042,14,53.880692751764,1,1,0,0,0,4,70.763013713103,28.8646568313021,14.1526027426206
CC_001,3,noStress,10,11,66,12,72,1,1,0,0,0,1,15.6,33,7.8
CC_001,3,stress,20,28,83.6653386454183,28,83.6653386454183,1,1,0,0,0,4,70.763013713103,41.8326693227092,14.1526027426206
CC_001,4,noStress,10,2,12,3,18,0,0,0,0,0,1,15.6,12,7.8
CC_001,4,stress,6.13,11,107.667210440457,12,117.455138662316,1,1,0,0,0,4,70.763013713103,53.8336052202284,14.1526027426206
CC_001,5,noStress,10,0,0,1,6,0,0,0,0,0,1,15.6,0,7.8
CC_001,5,stress,6.48,11,101.851851851852,12,111.111111111111,1,1,0,0,0,4,70.763013713103,50.9259259259259,14.1526027426206
CC_002,1,noStress,10,9,54,10,60,0,0,0,0,0,0,57.6,54,57.6
CC_002,1,stress,19.89,15,45.2488687782805,16,48.2654600301659,1,0,0,0,1,2,65.1106166846028,22.6244343891403,21.7035388948676
CC_002,2,noStress,10,9,54,10,60,0,0,0,0,0,0,57.6,54,57.6
CC_002,2,stress,20,22,65.9011482775836,23,68.8966550174738,0,0,0,0,0,2,65.1106166846028,65.9011482775836,21.7035388948676
CC_002,3,noStress,10,9,54,10,60,0,0,0,0,0,0,57.6,54,57.6
CC_002,3,stress,20,24,71.3224368499257,25,74.2942050520059,0,0,0,0,0,2,65.1106166846028,71.3224368499257,21.7035388948676
CC_002,4,noStress,10,10,60,11,66,0,0,0,0,0,0,57.6,60,57.6
CC_002,4,stress,11.16,12,64.5161290322581,13,69.8924731182796,1,0,0,0,1,2,65.1106166846028,32.258064516129,21.7035388948676
CC_002,5,noStress,10,11,66,12,72,0,0,0,0,0,0,57.6,66,57.6
CC_002,5,stress,20,27,78.564500484966,28,81.474296799224,0,0,0,0,0,2,65.1106166846028,78.564500484966,21.7035388948676
CC_003,1,noStress,10,3,18,4,24,0,0,0,0,0,3,81.6,18,20.4
CC_003,1,stress,20,13,38.6712940009916,14,41.6460089241448,0,0,0,0,0,3,52.6298689470288,38.6712940009916,13.1574672367572
CC_003,2,noStress,10,12,72,12,72,1,0,1,1,0,3,81.6,36,20.4
CC_003,2,stress,2.63,1,22.8136882129278,2,45.6273764258555,1,0,1,0,0,3,52.6298689470288,11.4068441064639,13.1574672367572
CC_003,3,noStress,10,17,102,18,108,1,1,1,0,0,3,81.6,51,20.4
CC_003,3,stress,20,28,82.6771653543307,28,82.6771653543307,0,0,0,0,0,3,52.6298689470288,82.6771653543307,13.1574672367572
CC_003,4,noStress,10,15,90,16,96,1,1,1,0,0,3,81.6,45,20.4
CC_003,4,stress,4.29,2,27.972027972028,3,41.958041958042,1,0,1,1,0,3,52.6298689470288,13.986013986014,13.1574672367572
CC_003,5,noStress,10,21,126,21,126,0,0,0,0,0,3,81.6,126,20.4
CC_003,5,stress,8.57,13,91.0151691948658,14,98.0163360560093,1,0,0,0,1,3,52.6298689470288,45.5075845974329,13.1574672367572
CC_004,1,noStress,10,17,102,15,90,0,0,0,0,0,4,120,102,24
CC_004,1,stress,5.19,5,57.8034682080925,6,69.364161849711,1,0,0,0,1,5,39.3287137802063,28.9017341040462,6.55478563003439
CC_004,2,noStress,10,18,108,16,96,1,0,0,0,1,4,120,54,24
CC_004,2,stress,7.93,8,60.5296343001261,8,60.5296343001261,1,0,0,0,1,5,39.3287137802063,30.2648171500631,6.55478563003439
CC_004,3,noStress,10,23,138,21,126,1,0,0,0,1,4,120,69,24
CC_004,3,stress,2.72,1,22.0588235294118,2,44.1176470588235,1,0,0,0,1,5,39.3287137802063,11.0294117647059,6.55478563003439
CC_004,4,noStress,10,21,126,20,120,1,0,0,0,1,4,120,63,24
CC_004,4,stress,2.26,1,26.5486725663717,2,53.0973451327434,1,0,0,0,1,5,39.3287137802063,13.2743362831858,6.55478563003439
CC_004,5,noStress,10,21,126,20,120,1,0,0,0,1,4,120,63,24
CC_004,5,stress,2.02,1,29.7029702970297,2,59.4059405940594,1,0,0,0,1,5,39.3287137802063,14.8514851485149,6.55478563003439
CC_005,1,noStress,10,10,60,11,66,1,0,1,1,0,2,58.8,30,19.6
CC_005,1,stress,2.7,1,22.2222222222222,2,44.4444444444444,1,1,0,0,0,5,67.251342953737,11.1111111111111,11.2085571589562
CC_005,2,noStress,10,11,66,12,72,0,0,0,0,0,2,58.8,66,19.6
CC_005,2,stress,10.19,7,41.2168792934249,8,47.1050049067713,1,0,0,0,1,5,67.251342953737,20.6084396467125,11.2085571589562
