ID,condition,sex,age,education_level
CSE01,YC,2,26,10
CSE02,YC,2,21,7
CSE05,YC,1,25,7
CSE07,YC,2,30,10
CSE08,YC,1,21,7
CSE09,YC,1,21,7
CSE101,YC,2,24,7
CSE103,YC,1,21,7
CSE107,YC,2,34,7
CSE116,YC,2,22,7
CSE12,YC,2,24,7
CSE120,YC,1,26,10
CSE14,YC,1,29,7
CSE15,YC,1,26,11
CSE27,YC,1,23,7
CSE28,YC,1,26,10
CSE30,YC,2,21,7
CSE32,YC,2,27,10
CSE51,YC,2,27,7
CSE53,YC,1,21,7
CSE57,YC,2,25,7
CSE59,YC,1,20,7
CSE60,YC,2,21,7
CSE62,YC,1,24,10
CSE63,YC,2,25,10
CSE64,YC,1,41,11
CSE65,YC,1,22,7
CSE67,YC,1,23,7
CSE68,YC,1,25,11
CSE70,YC,1,21,7
CSE72,YC,1,19,7
CSE74,YC,2,20,7
CSE78,YC,1,21,7
CSE80,YC,1,25,10
CSE81,YC,2,24,7
CSE84,YC,1,27,7
CSE86,YC,2,25,10
CSE88,YC,1,19,7
EC01,EC,1,21,7
EC03,EC,1,20,7
EC05,EC,1,21,7
EC06,EC,2,39,7
EC07,EC,2,27,7
EC100,EC,2,23,10
EC11,EC,1,20,7
EC12,EC,2,21,7
EC13,EC,1,21,7
EC14,EC,1,21,7
EC16,EC,2,21,7
EC17,EC,2,20,7
EC18,EC,2,20,7
EC19,EC,2,18,7
EC21,EC,2,20,7
EC23,EC,2,24,10
EC24,EC,2,25,10
EC25,EC,2,39,11
EC26,EC,1,22,7
EC27,EC,1,27,10
EC30,EC,2,33,11
EC37,EC,1,22,7
EC38,EC,1,19,7
EC39,EC,2,21,7
EC40,EC,1,20,7
EC42,EC,2,20,7
EC43,EC,1,25,10
EC45,EC,1,19,7
EC46,EC,1,20,7
EC47,EC,2,20,6
EC49,EC,2,23,7
EC51,EC,1,22,7
EC52,EC,2,24,7
EC53,EC,1,20,7
EC54,EC,1,22,7
EC55,EC,1,26,10
EC57,EC,1,25,7
EC62,EC,1,21,7
EC63,EC,2,23,10
EC64,EC,2,21,7
EC65,EC,2,20,7
EC67,EC,1,24,10
EC68,EC,2,23,10
EC70,EC,1,24,10
EC71,EC,2,27,10
EC72,EC,1,20,7
EC73,EC,1,26,10
EC74,EC,2,21,7
EC75,EC,2,23,7
EC76,EC,1,28,10
EC78,EC,1,20,7
EC80,EC,2,22,7
EC82,EC,1,24,7
EC83,EC,1,21,7
EC84,EC,1,20,7
EC87,EC,2,23,10
EC88,EC,1,25,10
EC89,EC,1,23,7
EC90,EC,1,19,7
EC93,EC,1,20,7
EC96,EC,2,23,7
EC97,EC,2,20,7
